Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Drug Reaction,itchy skin,rash,abdominal pain,burning_micturition,,,,,,,,,,,,,
Drug Reaction,rash,abdominal pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,abdominal pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,rash,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,rash,abdominal pain,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,rash,abdominal pain,burning_micturition,,,,,,,,,,,,,
Peptic ulcer diseae,nausea,reduced appetite,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,reduced appetite,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,nausea,reduced appetite,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,reduced appetite,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,reduced appetite,stomach pain,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,reduced appetite,stomach pain,passage_of_gases,,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,reduced appetite,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,reduced appetite,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,fever,unprotected sex,,,,,,,,,,,,,
AIDS,patches_in_throat,fever,unprotected sex,,,,,,,,,,,,,,
AIDS,muscle_wasting,fever,unprotected sex,,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,unprotected sex,,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,fever,,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,fever,unprotected sex,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,fever,unprotected sex,,,,,,,,,,,,,
AIDS,patches_in_throat,fever,unprotected sex,,,,,,,,,,,,,,
AIDS,muscle_wasting,fever,unprotected sex,,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,fever,,,,,,,,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,tiredness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,tiredness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,
Diabetes ,weight_loss,restlessness,tiredness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,restlessness,tiredness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,weight_loss,tiredness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,tiredness,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,tiredness,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,tiredness,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,tiredness,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria,,,,,,,,
Gastroenteritis,nausea,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,nausea,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,nausea,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,nausea,sunken_eyes,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,nausea,sunken_eyes,dehydration,,,,,,,,,,,,,,
Gastroenteritis,nausea,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,nausea,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,nausea,sunken_eyes,diarrhoea,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,coughing,fever,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,
Bronchial Asthma,coughing,fever,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,fever,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,coughing,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,coughing,fever,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,coughing,fever,shortness of breath,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,coughing,fever,shortness of breath,family_history,,,,,,,,,,,,
Bronchial Asthma,fatigue,coughing,fever,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,
Bronchial Asthma,coughing,fever,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,fever,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,,
Hypertension ,head pain,chest discomfort,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Hypertension ,chest discomfort,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension ,head pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension ,head pain,chest discomfort,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension ,head pain,chest discomfort,dizziness,lack_of_concentration,,,,,,,,,,,,,
Hypertension ,head pain,chest discomfort,dizziness,loss_of_balance,,,,,,,,,,,,,
Hypertension ,head pain,chest discomfort,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Hypertension ,chest discomfort,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension ,head pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension ,head pain,chest discomfort,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Migraine,acidity,indigestion,head pain,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,
Migraine,indigestion,head pain,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,head pain,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,head pain,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,head pain,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,head pain,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,head pain,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,head pain,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,head pain,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nausea,head pain,body weakness,altered_sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nausea,head pain,body weakness,altered_sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage),head pain,body weakness,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nausea,body weakness,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nausea,head pain,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nausea,head pain,body weakness,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nausea,head pain,body weakness,altered_sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage),head pain,body weakness,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nausea,body weakness,altered_sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nausea,head pain,altered_sensorium,,,,,,,,,,,,,,
Jaundice,itchy skin,nausea,fatigue,weight_loss,fever,yellow skin,dark-colored urine,stomach pain,,,,,,,,,
Jaundice,itchy skin,nausea,fatigue,weight_loss,fever,yellow skin,dark-colored urine,stomach pain,,,,,,,,,
Jaundice,nausea,fatigue,weight_loss,fever,yellow skin,dark-colored urine,stomach pain,,,,,,,,,,
Jaundice,itchy skin,fatigue,weight_loss,fever,yellow skin,dark-colored urine,stomach pain,,,,,,,,,,
Jaundice,itchy skin,nausea,weight_loss,fever,yellow skin,dark-colored urine,stomach pain,,,,,,,,,,
Jaundice,itchy skin,nausea,fatigue,fever,yellow skin,dark-colored urine,stomach pain,,,,,,,,,,
Jaundice,itchy skin,nausea,fatigue,weight_loss,yellow skin,dark-colored urine,stomach pain,,,,,,,,,,
Jaundice,itchy skin,nausea,fatigue,weight_loss,fever,dark-colored urine,stomach pain,,,,,,,,,,
Jaundice,itchy skin,nausea,fatigue,weight_loss,fever,yellow skin,stomach pain,,,,,,,,,,
Jaundice,itchy skin,nausea,fatigue,weight_loss,fever,yellow skin,dark-colored urine,,,,,,,,,,
Malaria,cold chills,nausea,fever,sweating,head pain,nausea,muscle ache,,,,,,,,,,
Malaria,cold chills,nausea,fever,sweating,head pain,nausea,diarrhoea,muscle ache,,,,,,,,,
Malaria,cold chills,nausea,fever,sweating,head pain,nausea,diarrhoea,muscle ache,,,,,,,,,
Malaria,nausea,fever,sweating,head pain,nausea,diarrhoea,muscle ache,,,,,,,,,,
Malaria,cold chills,fever,sweating,head pain,nausea,diarrhoea,muscle ache,,,,,,,,,,
Malaria,cold chills,nausea,sweating,head pain,nausea,diarrhoea,muscle ache,,,,,,,,,,
Malaria,cold chills,nausea,fever,head pain,nausea,diarrhoea,muscle ache,,,,,,,,,,
Malaria,cold chills,nausea,fever,sweating,nausea,diarrhoea,muscle ache,,,,,,,,,,
Malaria,cold chills,nausea,fever,sweating,head pain,diarrhoea,muscle ache,,,,,,,,,,
Malaria,cold chills,nausea,fever,sweating,head pain,nausea,muscle ache,,,,,,,,,,
Chicken pox,itchy skin,rash,fatigue,tiredness,fever,head pain,reduced appetite,low-grade fever,swollen lymph nodes,malaise,red_spots_over_body,,,,,,
Chicken pox,rash,fatigue,tiredness,fever,head pain,reduced appetite,low-grade fever,swollen lymph nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,itchy skin,fatigue,tiredness,fever,head pain,reduced appetite,low-grade fever,swollen lymph nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,itchy skin,rash,tiredness,fever,head pain,reduced appetite,low-grade fever,swollen lymph nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,itchy skin,rash,fatigue,fever,head pain,reduced appetite,low-grade fever,swollen lymph nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,itchy skin,rash,fatigue,tiredness,head pain,reduced appetite,low-grade fever,swollen lymph nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,itchy skin,rash,fatigue,tiredness,fever,reduced appetite,low-grade fever,swollen lymph nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,itchy skin,rash,fatigue,tiredness,fever,head pain,low-grade fever,swollen lymph nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,itchy skin,rash,fatigue,tiredness,fever,head pain,reduced appetite,swollen lymph nodes,malaise,red_spots_over_body,,,,,,,
Chicken pox,itchy skin,rash,fatigue,tiredness,fever,head pain,reduced appetite,low-grade fever,malaise,red_spots_over_body,,,,,,,
Dengue,rash,cold chills,joint ache,nausea,fatigue,fever,head pain,nausea,reduced appetite,pain_behind_the_eyes,back_pain,muscle ache,red_spots_over_body,,,,
Dengue,rash,cold chills,joint ache,nausea,fatigue,fever,head pain,nausea,reduced appetite,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body,,,,
Dengue,rash,cold chills,joint ache,nausea,fatigue,fever,head pain,nausea,reduced appetite,pain_behind_the_eyes,back_pain,malaise,muscle ache,,,,
Dengue,rash,cold chills,joint ache,nausea,fatigue,fever,head pain,nausea,reduced appetite,pain_behind_the_eyes,back_pain,malaise,muscle ache,red_spots_over_body,,,
Dengue,cold chills,joint ache,nausea,fatigue,fever,head pain,nausea,reduced appetite,pain_behind_the_eyes,back_pain,malaise,muscle ache,red_spots_over_body,,,,
Dengue,rash,joint ache,nausea,fatigue,fever,head pain,nausea,reduced appetite,pain_behind_the_eyes,back_pain,malaise,muscle ache,red_spots_over_body,,,,
Dengue,rash,cold chills,nausea,fatigue,fever,head pain,nausea,reduced appetite,pain_behind_the_eyes,back_pain,malaise,muscle ache,red_spots_over_body,,,,
Dengue,rash,cold chills,joint ache,fatigue,fever,head pain,nausea,reduced appetite,pain_behind_the_eyes,back_pain,malaise,muscle ache,red_spots_over_body,,,,
Dengue,rash,cold chills,joint ache,nausea,fever,head pain,nausea,reduced appetite,pain_behind_the_eyes,back_pain,malaise,muscle ache,red_spots_over_body,,,,
Dengue,rash,cold chills,joint ache,nausea,fatigue,head pain,nausea,reduced appetite,pain_behind_the_eyes,back_pain,malaise,muscle ache,red_spots_over_body,,,,
Typhoid,cold chills,nausea,fatigue,fever,nausea,constipation,stomach pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,
Typhoid,cold chills,nausea,fatigue,fever,head pain,constipation,stomach pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,
Typhoid,cold chills,nausea,fatigue,fever,head pain,nausea,stomach pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,
Typhoid,cold chills,nausea,fatigue,fever,head pain,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,
Typhoid,cold chills,nausea,fatigue,fever,head pain,nausea,constipation,stomach pain,toxic_look_(typhos),belly_pain,,,,,,,
Typhoid,cold chills,nausea,fatigue,fever,head pain,nausea,constipation,stomach pain,diarrhoea,belly_pain,,,,,,,
Typhoid,cold chills,nausea,fatigue,fever,head pain,nausea,constipation,stomach pain,diarrhoea,toxic_look_(typhos),,,,,,,
Typhoid,cold chills,nausea,fatigue,fever,head pain,nausea,constipation,stomach pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,
Typhoid,cold chills,nausea,fatigue,fever,head pain,nausea,constipation,stomach pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,
Typhoid,cold chills,fatigue,fever,head pain,nausea,constipation,stomach pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,
hepatitis A,joint ache,nausea,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,diarrhoea,low-grade fever,yellowing_of_eyes,muscle ache,,,,,,
hepatitis A,joint ache,nausea,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,diarrhoea,low-grade fever,yellowing_of_eyes,muscle ache,,,,,,
hepatitis A,nausea,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,diarrhoea,low-grade fever,yellowing_of_eyes,muscle ache,,,,,,,
hepatitis A,joint ache,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,diarrhoea,low-grade fever,yellowing_of_eyes,muscle ache,,,,,,,
hepatitis A,joint ache,nausea,dark-colored urine,nausea,reduced appetite,stomach pain,diarrhoea,low-grade fever,yellowing_of_eyes,muscle ache,,,,,,,
hepatitis A,joint ache,nausea,yellow skin,nausea,reduced appetite,stomach pain,diarrhoea,low-grade fever,yellowing_of_eyes,muscle ache,,,,,,,
hepatitis A,joint ache,nausea,yellow skin,dark-colored urine,reduced appetite,stomach pain,diarrhoea,low-grade fever,yellowing_of_eyes,muscle ache,,,,,,,
hepatitis A,joint ache,nausea,yellow skin,dark-colored urine,nausea,stomach pain,diarrhoea,low-grade fever,yellowing_of_eyes,muscle ache,,,,,,,
hepatitis A,joint ache,nausea,yellow skin,dark-colored urine,nausea,reduced appetite,diarrhoea,low-grade fever,yellowing_of_eyes,muscle ache,,,,,,,
hepatitis A,joint ache,nausea,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,low-grade fever,yellowing_of_eyes,muscle ache,,,,,,,
Hepatitis B,itchy skin,fatigue,tiredness,yellow skin,dark-colored urine,reduced appetite,stomach pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,
Hepatitis B,itchy skin,fatigue,tiredness,yellow skin,dark-colored urine,reduced appetite,stomach pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,
Hepatitis B,fatigue,tiredness,yellow skin,dark-colored urine,reduced appetite,stomach pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itchy skin,tiredness,yellow skin,dark-colored urine,reduced appetite,stomach pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itchy skin,fatigue,yellow skin,dark-colored urine,reduced appetite,stomach pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itchy skin,fatigue,tiredness,dark-colored urine,reduced appetite,stomach pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itchy skin,fatigue,tiredness,yellow skin,reduced appetite,stomach pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itchy skin,fatigue,tiredness,yellow skin,dark-colored urine,stomach pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itchy skin,fatigue,tiredness,yellow skin,dark-colored urine,reduced appetite,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis B,itchy skin,fatigue,tiredness,yellow skin,dark-colored urine,reduced appetite,stomach pain,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,,,,,,
Hepatitis C,fatigue,yellow skin,nausea,reduced appetite,family_history,,,,,,,,,,,,
Hepatitis C,fatigue,yellow skin,nausea,reduced appetite,yellowing_of_eyes,family_history,,,,,,,,,,,
Hepatitis C,yellow skin,nausea,reduced appetite,yellowing_of_eyes,family_history,,,,,,,,,,,,
Hepatitis C,fatigue,nausea,reduced appetite,yellowing_of_eyes,family_history,,,,,,,,,,,,
Hepatitis C,fatigue,yellow skin,reduced appetite,yellowing_of_eyes,family_history,,,,,,,,,,,,
Hepatitis C,fatigue,yellow skin,nausea,yellowing_of_eyes,family_history,,,,,,,,,,,,
Hepatitis C,fatigue,yellow skin,nausea,reduced appetite,family_history,,,,,,,,,,,,
Hepatitis C,fatigue,yellow skin,nausea,reduced appetite,yellowing_of_eyes,,,,,,,,,,,,
Hepatitis C,fatigue,yellow skin,nausea,reduced appetite,yellowing_of_eyes,family_history,,,,,,,,,,,
Hepatitis C,fatigue,yellow skin,nausea,reduced appetite,yellowing_of_eyes,family_history,,,,,,,,,,,
Hepatitis D,joint ache,nausea,fatigue,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,
Hepatitis D,nausea,fatigue,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,
Hepatitis D,joint ache,fatigue,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,
Hepatitis D,joint ache,nausea,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,
Hepatitis D,joint ache,nausea,fatigue,dark-colored urine,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,
Hepatitis D,joint ache,nausea,fatigue,yellow skin,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,
Hepatitis D,joint ache,nausea,fatigue,yellow skin,dark-colored urine,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,
Hepatitis D,joint ache,nausea,fatigue,yellow skin,dark-colored urine,nausea,stomach pain,yellowing_of_eyes,,,,,,,,,
Hepatitis D,joint ache,nausea,fatigue,yellow skin,dark-colored urine,nausea,reduced appetite,yellowing_of_eyes,,,,,,,,,
Hepatitis D,joint ache,nausea,fatigue,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,,,,,,,,,
Hepatitis E,joint ache,nausea,fatigue,fever,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,yellowing_of_eyes,coma,stomach_bleeding,,,,,
Hepatitis E,joint ache,nausea,fatigue,fever,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,
Hepatitis E,joint ache,nausea,fatigue,fever,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,
Hepatitis E,nausea,fatigue,fever,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,
Hepatitis E,joint ache,fatigue,fever,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,
Hepatitis E,joint ache,nausea,fever,yellow skin,dark-colored urine,nausea,reduced appetite,stomach pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,
